,month,year,FixedCounts,walk,region
1,11,2008,6427,Tasman Glacier,Canterbury
2,12,2008,14342,Tasman Glacier,Canterbury
3,1,2009,17118,Tasman Glacier,Canterbury
4,2,2009,12946,Tasman Glacier,Canterbury
5,3,2009,12172,Tasman Glacier,Canterbury
6,4,2009,9652,Tasman Glacier,Canterbury
7,5,2009,4490,Tasman Glacier,Canterbury
8,6,2009,2180,Tasman Glacier,Canterbury
9,7,2009,380,Tasman Glacier,Canterbury
10,8,2009,3146,Tasman Glacier,Canterbury
11,9,2009,5612,Tasman Glacier,Canterbury
12,10,2009,8040,Tasman Glacier,Canterbury
13,11,2009,8970,Tasman Glacier,Canterbury
14,12,2009,11714,Tasman Glacier,Canterbury
15,1,2010,19176,Tasman Glacier,Canterbury
16,2,2010,13242,Tasman Glacier,Canterbury
17,3,2010,13743,Tasman Glacier,Canterbury
18,4,2010,8927,Tasman Glacier,Canterbury
19,5,2010,986,Tasman Glacier,Canterbury
20,6,2010,361,Tasman Glacier,Canterbury
21,7,2010,290,Tasman Glacier,Canterbury
22,8,2010,15,Tasman Glacier,Canterbury
23,9,2010,2,Tasman Glacier,Canterbury
24,10,2010,1912,Tasman Glacier,Canterbury
25,11,2010,4185,Tasman Glacier,Canterbury
26,12,2010,5838,Tasman Glacier,Canterbury
27,1,2011,7995,Tasman Glacier,Canterbury
28,2,2011,1,Tasman Glacier,Canterbury
29,3,2011,4988,Tasman Glacier,Canterbury
30,4,2011,4794,Tasman Glacier,Canterbury
31,5,2011,1827,Tasman Glacier,Canterbury
32,6,2011,1732,Tasman Glacier,Canterbury
33,7,2011,469,Tasman Glacier,Canterbury
34,8,2011,647,Tasman Glacier,Canterbury
35,9,2011,2852,Tasman Glacier,Canterbury
36,10,2011,3693,Tasman Glacier,Canterbury
37,11,2011,4579,Tasman Glacier,Canterbury
38,12,2011,3868,Tasman Glacier,Canterbury
39,1,2012,4758,Tasman Glacier,Canterbury
40,2,2012,5363,Tasman Glacier,Canterbury
41,3,2012,7361,Tasman Glacier,Canterbury
42,4,2012,6360,Tasman Glacier,Canterbury
43,5,2012,3324,Tasman Glacier,Canterbury
44,6,2012,1176,Tasman Glacier,Canterbury
45,7,2012,1134,Tasman Glacier,Canterbury
46,8,2012,2446,Tasman Glacier,Canterbury
47,9,2012,2651,Tasman Glacier,Canterbury
48,10,2012,3842,Tasman Glacier,Canterbury
49,11,2012,4073,Tasman Glacier,Canterbury
50,12,2012,5835,Tasman Glacier,Canterbury
51,1,2013,7958,Tasman Glacier,Canterbury
52,2,2013,5731,Tasman Glacier,Canterbury
53,3,2013,7348,Tasman Glacier,Canterbury
54,4,2013,5899,Tasman Glacier,Canterbury
55,5,2013,3039,Tasman Glacier,Canterbury
56,6,2013,703,Tasman Glacier,Canterbury
57,7,2013,1562,Tasman Glacier,Canterbury
58,8,2013,2604,Tasman Glacier,Canterbury
59,9,2013,3316,Tasman Glacier,Canterbury
60,10,2013,4380,Tasman Glacier,Canterbury
61,11,2013,4891,Tasman Glacier,Canterbury
62,12,2013,6535,Tasman Glacier,Canterbury
63,1,2014,9119,Tasman Glacier,Canterbury
64,2,2014,7697,Tasman Glacier,Canterbury
65,3,2014,8366,Tasman Glacier,Canterbury
66,4,2014,6641,Tasman Glacier,Canterbury
67,5,2014,2340,Tasman Glacier,Canterbury
68,6,2014,1102,Tasman Glacier,Canterbury
69,7,2014,676,Tasman Glacier,Canterbury
70,8,2014,2313,Tasman Glacier,Canterbury
71,9,2014,4141,Tasman Glacier,Canterbury
72,10,2014,6178,Tasman Glacier,Canterbury
73,11,2014,9011,Tasman Glacier,Canterbury
74,12,2014,9598,Tasman Glacier,Canterbury
75,1,2015,9836,Tasman Glacier,Canterbury
76,2,2015,11706,Tasman Glacier,Canterbury
77,3,2015,11577,Tasman Glacier,Canterbury
78,4,2015,9813,Tasman Glacier,Canterbury
79,5,2015,4053,Tasman Glacier,Canterbury
80,6,2015,1209,Tasman Glacier,Canterbury
81,7,2015,1293,Tasman Glacier,Canterbury
82,8,2015,2831,Tasman Glacier,Canterbury
83,9,2015,3730,Tasman Glacier,Canterbury
84,10,2015,6717,Tasman Glacier,Canterbury
85,11,2015,10685,Tasman Glacier,Canterbury
86,12,2015,13776,Tasman Glacier,Canterbury
87,1,2016,15234,Tasman Glacier,Canterbury
88,2,2016,14493,Tasman Glacier,Canterbury
89,3,2016,13187,Tasman Glacier,Canterbury
90,4,2016,10626,Tasman Glacier,Canterbury
91,5,2016,4658,Tasman Glacier,Canterbury
92,6,2016,2699,Tasman Glacier,Canterbury
93,7,2016,4550,Tasman Glacier,Canterbury
94,8,2016,4004,Tasman Glacier,Canterbury
95,9,2016,7021,Tasman Glacier,Canterbury
96,10,2016,9929,Tasman Glacier,Canterbury
97,11,2016,12255,Tasman Glacier,Canterbury
98,12,2016,15512,Tasman Glacier,Canterbury
99,1,2017,19291,Tasman Glacier,Canterbury
100,2,2017,14801,Tasman Glacier,Canterbury
101,3,2017,14155,Tasman Glacier,Canterbury
102,4,2017,10947,Tasman Glacier,Canterbury
103,5,2017,5249,Tasman Glacier,Canterbury
104,6,2017,3029,Tasman Glacier,Canterbury
105,7,2017,342,Tasman Glacier,Canterbury
106,8,2017,3768,Tasman Glacier,Canterbury
107,9,2017,4959,Tasman Glacier,Canterbury
108,10,2017,8386,Tasman Glacier,Canterbury
109,11,2017,11524,Tasman Glacier,Canterbury
110,12,2017,14118,Tasman Glacier,Canterbury
111,1,2018,16939,Tasman Glacier,Canterbury
112,2,2018,15510,Tasman Glacier,Canterbury
113,3,2018,14324,Tasman Glacier,Canterbury
114,4,2018,8885,Tasman Glacier,Canterbury
115,5,2018,4209,Tasman Glacier,Canterbury
116,6,2018,2209,Tasman Glacier,Canterbury
117,7,2018,4334,Tasman Glacier,Canterbury
118,8,2018,4900,Tasman Glacier,Canterbury
119,9,2018,6193,Tasman Glacier,Canterbury
120,10,2018,8702,Tasman Glacier,Canterbury
121,11,2018,12130,Tasman Glacier,Canterbury
122,12,2018,15622,Tasman Glacier,Canterbury
123,7,2008,2,Cape Kidnappers,Hawke's Bay
124,8,2008,0,Cape Kidnappers,Hawke's Bay
125,9,2008,0,Cape Kidnappers,Hawke's Bay
126,10,2008,3,Cape Kidnappers,Hawke's Bay
127,11,2008,1,Cape Kidnappers,Hawke's Bay
128,12,2008,8,Cape Kidnappers,Hawke's Bay
129,1,2009,24,Cape Kidnappers,Hawke's Bay
130,2,2009,8,Cape Kidnappers,Hawke's Bay
131,3,2009,5,Cape Kidnappers,Hawke's Bay
132,4,2009,8,Cape Kidnappers,Hawke's Bay
133,5,2009,1,Cape Kidnappers,Hawke's Bay
134,6,2009,0,Cape Kidnappers,Hawke's Bay
135,7,2009,0,Cape Kidnappers,Hawke's Bay
136,8,2009,1,Cape Kidnappers,Hawke's Bay
137,9,2009,1,Cape Kidnappers,Hawke's Bay
138,10,2009,3,Cape Kidnappers,Hawke's Bay
139,11,2009,5,Cape Kidnappers,Hawke's Bay
140,12,2009,12,Cape Kidnappers,Hawke's Bay
141,1,2010,28,Cape Kidnappers,Hawke's Bay
142,2,2010,13,Cape Kidnappers,Hawke's Bay
143,3,2010,2,Cape Kidnappers,Hawke's Bay
144,4,2010,14,Cape Kidnappers,Hawke's Bay
145,5,2010,0,Cape Kidnappers,Hawke's Bay
146,6,2010,2,Cape Kidnappers,Hawke's Bay
147,7,2010,0,Cape Kidnappers,Hawke's Bay
